feedback,sentiment,rating,char_length,word_length,clean_feedback,sentiment_encoded
"Other wise no complaints, fully satisfied.",1,4,42,6,other wise no complaints fully satisfied,1
Thanks to the Emergency doctor abhishek and Thanks to the security guard there,1,5,78,13,thanks to the emergency doctor abhishek and thanks to the security guard there,1
They have expert doctors who gives the right medicines and helps the patients recover fast.,1,5,91,15,they have expert doctors who gives the right medicines and helps the patients recover fast,1
I really liked the service there!,1,4,33,6,i really liked the service there,1
Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.,0,2,121,22,hopeless hospital i dont know how they have got jci and nabh they have no value for patients or their attendants time,0
Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.,0,1,95,18,receptionists only want money they dont care if the doctor is hrs late but give them money,0
I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.,0,2,119,27,i went for my father he has tracheostomy n all issues they made him wait for hour n said wait if you want to or go,0
"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.",0,1,327,55,i called them to book an appointment i requested for a senior doctor and seeked their years of experience they dont want to share it transparency is not there when i called appolo they give all the detailsexperience and i feel comfortable while choosing doctor fortispls have transperency and it is right of a patient,0
I was having menopause related issues and went to see a gynecologist. ,1,5,70,12,i was having menopause related issues and went to see a gynecologist,1
I really liked the service there!,1,5,33,6,i really liked the service there,1
Thanks to the Emergency doctor abhishek and Thanks to the security guard there,1,4,78,13,thanks to the emergency doctor abhishek and thanks to the security guard there,1
Say hello with folded hands.and Take the patient sitting in the wheel chair ...,1,5,79,14,say hello with folded handsand take the patient sitting in the wheel chair,1
I noticed the price there is a bit high. But the treatment is very good and the behavior of the doctor is also very good.so I don't think such a hospital is anywhere near HRS Layout.,1,4,182,36,i noticed the price there is a bit high but the treatment is very good and the behavior of the doctor is also very goodso i dont think such a hospital is anywhere near hrs layout,1
"Good experience, polite staff and timely service, well organized and hygienic",1,5,77,11,good experience polite staff and timely service well organized and hygienic,1
a very nice experience during our stay and Treatment in the Fortis Hospital from 27-7-2023 to 3-8-2023. We felt like staying in our own home. Dr.Rajkumar Deshpande and his team Done the C1& C2 Surgical Spine Replacement under O arm Machine successfully .Doctors and other supporting staff for their wonderful services.,1,5,318,51,a very nice experience during our stay and treatment in the fortis hospital from to we felt like staying in our own home drrajkumar deshpande and his team done the c c surgical spine replacement under o arm machine successfully doctors and other supporting staff for their wonderful services,1
"Highly experienced doctors. Their analysis, interactions and treatment are excellent. ",1,5,86,10,highly experienced doctors their analysis interactions and treatment are excellent,1
The rooms are very neat and clean. Very good house keeping. ,1,4,60,11,the rooms are very neat and clean very good house keeping,1
The staff nurses are down to earth. Their caring and hospitality is highly appreciable. ,1,5,88,14,the staff nurses are down to earth their caring and hospitality is highly appreciable,1
"Overall, the services from admission till discharge is excellent.",1,5,65,9,overall the services from admission till discharge is excellent,1
We loved the hospitality of the staff members and doctors. They are so hardworking and put efforts to ensure good health and safety of the patients. Dr. Gayathri is an excellent doctor who also provides you guidance and emotional support,1,5,237,40,we loved the hospitality of the staff members and doctors they are so hardworking and put efforts to ensure good health and safety of the patients dr gayathri is an excellent doctor who also provides you guidance and emotional support,1
"The hospital service has been really good. The patient has been taken good care overall right from the consultation until the discharge, everything is seamless and hassle free. We went with the insurance and the processing time was quick.",1,5,238,39,the hospital service has been really good the patient has been taken good care overall right from the consultation until the discharge everything is seamless and hassle free we went with the insurance and the processing time was quick,1
"Dr. Sashidhara, cardiologist took every effort to diagnose the problem and suggested for the bypass and later the Surgeon ",1,5,122,19,dr sashidhara cardiologist took every effort to diagnose the problem and suggested for the bypass and later the surgeon,1
"Dr. Murali Manohar took care of the operation with great confidence. Overall, it was a good experience throughout.",1,5,114,18,dr murali manohar took care of the operation with great confidence overall it was a good experience throughout,1
"Everything is well organised with the various rooms (for photo, blood test, xray, main doctor's consultation etc) all situated around the huge waiting room with the sequence you have to follow communicated to you at the billing counter.",1,4,236,38,everything is well organised with the various rooms for photo blood test xray main doctors consultation etc all situated around the huge waiting room with the sequence you have to follow communicated to you at the billing counter,1
Card payment is accepted.,1,5,25,4,card payment is accepted,1
"While the cost of the tests is perhaps just a tad bit more than the other option (Elbit diagnostics), the convenience and service more than make up for it.",1,3,155,29,while the cost of the tests is perhaps just a tad bit more than the other option elbit diagnostics the convenience and service more than make up for it,1
"While prior appointment booking is not required, you are advised to call before coming because the forms for some countries have to be printed and brought along with you (while others are available there).",1,3,205,34,while prior appointment booking is not required you are advised to call before coming because the forms for some countries have to be printed and brought along with you while others are available there,1
"The place can get quite crowded so if you wish to get done with all formalities within 1.5-2 hours, it is better to reach there before 830am when the billing counter opens. Don't forget to pick out a token from the machine near the counter.",1,3,240,45,the place can get quite crowded so if you wish to get done with all formalities within hours it is better to reach there before am when the billing counter opens dont forget to pick out a token from the machine near the counter,1
We are really satisfied with the service from Fortis. There is no negative point about this hospital. Well maintained and very systematic. The best part is your time will not be wasted even for 1 min. Thanks for the doctors and all other workers.,1,5,246,44,we are really satisfied with the service from fortis there is no negative point about this hospital well maintained and very systematic the best part is your time will not be wasted even for min thanks for the doctors and all other workers,1
Had an emergency visit to the hospital with my father who was hospitalised for a couple of days due to a surgery. The doctors and staff of the hospital took utmost care. The best part of the hospital is that the team follows its processes and protocols so well.,1,4,261,49,had an emergency visit to the hospital with my father who was hospitalised for a couple of days due to a surgery the doctors and staff of the hospital took utmost care the best part of the hospital is that the team follows its processes and protocols so well,1
We had a great experience with the hospital.,1,5,44,8,we had a great experience with the hospital,1
Dr.Jawali and his team were very impressive not only for the surgery and procedure but also post operative following up with the patient and ensuring he was feeling absolutely.,1,5,176,29,drjawali and his team were very impressive not only for the surgery and procedure but also post operative following up with the patient and ensuring he was feeling absolutely,1
I would also thank the ICU nurses and the ward Nurses and all the different Dr.’s who were involved in ensuring my father recovered. Thank you So much !!!,1,5,154,29,i would also thank the icu nurses and the ward nurses and all the different drs who were involved in ensuring my father recovered thank you so much,1
Great care taken by the staff and hospital !! Special mention of Dr Vivek Padegal and Dr Ashish Parekh. Thanks to energetic and charming Nurse Ms Jacqueline for special care taken while treatment !!,1,4,198,34,great care taken by the staff and hospital special mention of dr vivek padegal and dr ashish parekh thanks to energetic and charming nurse ms jacqueline for special care taken while treatment,1
Dr Ravindra and team was excellent.,1,5,35,6,dr ravindra and team was excellent,1
Treatment given to the partient was impeccable! All the staff are much recognized for their dedication and kindness given to the patient throughout.,1,5,148,23,treatment given to the partient was impeccable all the staff are much recognized for their dedication and kindness given to the patient throughout,1
" Immense gratitude to all the Fortis team for ensuring my well-being, ensuring comfort and fast recovery.",1,4,105,16,immense gratitude to all the fortis team for ensuring my wellbeing ensuring comfort and fast recovery,1
Thank you once again for your outstanding service and commitment towards excellence. Each one's role and efforts are much appreciated..,1,5,135,20,thank you once again for your outstanding service and commitment towards excellence each ones role and efforts are much appreciated,1
Dr. Narayan Hulse is an amazing doctor. Nurses are also very humble and caring.,1,5,79,14,dr narayan hulse is an amazing doctor nurses are also very humble and caring,1
Midnight also they are very quick and active. They are present near the patient whenever needed. ,1,5,97,16,midnight also they are very quick and active they are present near the patient whenever needed,1
Food service is also very good. Housekeepers are doing their job efficiently. The hospital is very clean.,1,5,105,17,food service is also very good housekeepers are doing their job efficiently the hospital is very clean,1
"My co-sister, 81 had a knee replacement during covid. Post surgery had complications pain did not subside. She became totally bedridden. ",1,4,137,21,my cosister had a knee replacement during covid post surgery had complications pain did not subside she became totally bedridden,1
We met Dr. Narayan Hulse at Fortis for his opinion. He gave us 100% assurance and operated her.,1,5,95,18,we met dr narayan hulse at fortis for his opinion he gave us assurance and operated her,1
She walks now independently of course with Walker. She is ever grateful to him. Thanks a ton Doctor for giving her another life. ,1,5,129,23,she walks now independently of course with walker she is ever grateful to him thanks a ton doctor for giving her another life,1
 They book more appointments than capacity. My wife went for checkup in Fortis and my friend went to Hiranandani in Mumbai. Started same time at 8 am today. Friend finished the process by 11:30. Wife finished at 4 pm. Avoid for master health checkup.,1,3,250,44,they book more appointments than capacity my wife went for checkup in fortis and my friend went to hiranandani in mumbai started same time at am today friend finished the process by wife finished at pm avoid for master health checkup,1
Don't go buy name of the hospital. ,0,1,35,7,dont go buy name of the hospital,0
Worst experience when we went for the full body health checkup..,0,2,64,11,worst experience when we went for the full body health checkup,0
They do not care.. only thing they care is money. Once money is in their bank account you are on your own.,0,2,106,22,they do not care only thing they care is money once money is in their bank account you are on your own,0
The staff for health checkup is worst and doesn't know how to manage people and give proper guidance. ,0,1,102,18,the staff for health checkup is worst and doesnt know how to manage people and give proper guidance,0
If you say you do not have any visible issue they will finish the examination in less than a minute and send you out to serve next customer.,0,1,140,28,if you say you do not have any visible issue they will finish the examination in less than a minute and send you out to serve next customer,0
"Poor service, disorganized, no value for people's time and over-priced. ",0,2,72,10,poor service disorganized no value for peoples time and overpriced,0
After charging a bomb to the patients they have no system in place. ,0,1,68,13,after charging a bomb to the patients they have no system in place,0
Booking an appointment is a joke as you can never get things done as per the appointment time.,0,2,94,18,booking an appointment is a joke as you can never get things done as per the appointment time,0
They expect people to be unemployed or on indefinite leave while visiting their hospital for treatment.,0,2,103,16,they expect people to be unemployed or on indefinite leave while visiting their hospital for treatment,0
"The road outside the hospital is full of garbage and dirty potholes, the hospital administration should take some responsibility to make it walk-able for patients and their families.",0,1,182,28,the road outside the hospital is full of garbage and dirty potholes the hospital administration should take some responsibility to make it walkable for patients and their families,0
I took a comprehensive health check up package here with an appointment date and time. The total duration we were supposed to wait was around 5-6 hours.,0,2,152,27,i took a comprehensive health check up package here with an appointment date and time the total duration we were supposed to wait was around hours,0
I'd suggest just don't go by name. There are lot of local labs who provide much better services in less fees. Truly horrible and unexpected experience at Fortis.,1,3,161,28,id suggest just dont go by name there are lot of local labs who provide much better services in less fees truly horrible and unexpected experience at fortis,1
My Heartfelt Plea for Better Patient Care: A Harrowing Experience at Fortis Hospital,0,1,84,13,my heartfelt plea for better patient care a harrowing experience at fortis hospital,0
Please display few boards in the entrance of the hospital and also in the emergency department,1,3,94,16,please display few boards in the entrance of the hospital and also in the emergency department,1
Stating THIS HOSPITAL IS NOT FOR MIDDLE CLASS PEOPLE,1,3,52,9,stating this hospital is not for middle class people,1
Nice hospital and doctors also good and they take care patience super.eventhing is super in the hospital 🎉 …,1,5,108,19,nice hospital and doctors also good and they take care patience supereventhing is super in the hospital,1
Very good hospital and care.Excellent services. Happy with Fortis,1,5,65,9,very good hospital and careexcellent services happy with fortis,1
Dr. Harsha has provided amazing treatment. The night shift nurses are helpful. Overall management was very good.,1,4,112,17,dr harsha has provided amazing treatment the night shift nurses are helpful overall management was very good,1
Must visit for Dr Suresh Babu for chemotherapy,1,3,46,8,must visit for dr suresh babu for chemotherapy,1
Dr Gayathri Kamath is a very good doctor.Very reliable who you can believe in .Very good services at Fortis.She made all my pregnancy complications nothing making it smooth and helped me getting recovered much faster.,1,5,217,35,dr gayathri kamath is a very good doctorvery reliable who you can believe in very good services at fortisshe made all my pregnancy complications nothing making it smooth and helped me getting recovered much faster,1
Dr.Vivek belatur treatment is super . Chemotherapy treatment went well and smooth . Happy with Fortis and it's services.,1,4,120,19,drvivek belatur treatment is super chemotherapy treatment went well and smooth happy with fortis and its services,1
My father has been treated under supervision of Dr Adil Hasaan and Dr Suresh Babu sir.,1,5,86,16,my father has been treated under supervision of dr adil hasaan and dr suresh babu sir,1
"The service provided here is good with very professional and friendly staff. Doctors were very professional, experienced and responsible. ",1,5,138,19,the service provided here is good with very professional and friendly staff doctors were very professional experienced and responsible,1
Special thanks to Kavita for all the guidance and support she had provided us so far.,1,4,85,16,special thanks to kavita for all the guidance and support she had provided us so far,1
Very crowdy and excessive long queues. Try to avoid and be happy😊😊 …,1,5,68,13,very crowdy and excessive long queues try to avoid and be happy,1
Such a worst staff in this hospital.,0,1,36,7,such a worst staff in this hospital,0
they are charging too much for small thing n most important thing is unka security staff Jo apko hospital staff se jyada enquiry karte hai n too much rude behaviour like a roadside loafer,0,1,187,34,they are charging too much for small thing n most important thing is unka security staff jo apko hospital staff se jyada enquiry karte hai n too much rude behaviour like a roadside loafer,0
"The overall dignosis, treantment plan and post opp recevery management was super excellent and have a complete recovery without any post opp complications despite having complex health condition prior to the surgery. ",1,5,217,32,the overall dignosis treantment plan and post opp recevery management was super excellent and have a complete recovery without any post opp complications despite having complex health condition prior to the surgery,1
"The entire doctors team, Dr Gayathri from gynaecology, Dr sharath chandra from surgery and Dr sudha from internal medicine, Dr Shwetha from gynaecology and the nursing staff, have given the best treatment and excellent psychological support to us.",1,4,247,38,the entire doctors team dr gayathri from gynaecology dr sharath chandra from surgery and dr sudha from internal medicine dr shwetha from gynaecology and the nursing staff have given the best treatment and excellent psychological support to us,1
"They were with us each and every stage planning the best treatment for me and also giving confidence and mental support, that we felt homely.",1,5,141,25,they were with us each and every stage planning the best treatment for me and also giving confidence and mental support that we felt homely,1
"This team of doctors was very friendly, approachable, service oriented and selfless service and extremely professional. Once again a big thank you from the bottom of our heart",1,5,175,28,this team of doctors was very friendly approachable service oriented and selfless service and extremely professional once again a big thank you from the bottom of our heart,1
"Dr Mohan Keshavamurthy and team All doctors, All nursing staff, especially 6th floor staff, Jeena Davis nursing supervisor... We thank each and every one for your support.....",1,4,175,27,dr mohan keshavamurthy and team all doctors all nursing staff especially th floor staff jeena davis nursing supervisor we thank each and every one for your support,1
Always good,1,5,11,2,always good,1
"Dr Manisha Rajpal Singh treated for Laparoscopy, Hysteroscopy, Dilatation & curettage, cervical cauterization, Bilateral Ovarian endometrosis excision. We came from Bangladesh specifically to consult the doctor.",1,4,211,26,dr manisha rajpal singh treated for laparoscopy hysteroscopy dilatation curettage cervical cauterization bilateral ovarian endometrosis excision we came from bangladesh specifically to consult the doctor,1
"Doctor is very professional, caring. Dr Roopa from the team too. Nursing care are superb. Hygiene by support teams",1,5,114,19,doctor is very professional caring dr roopa from the team too nursing care are superb hygiene by support teams,1
I done immigration health check up here in fortis hospital bannargetta.. ,1,5,73,11,i done immigration health check up here in fortis hospital bannargetta,1
"it was amazing experience and helpful staffs especially Ms poornima , Ms manjula ans Santhosh",1,4,93,15,it was amazing experience and helpful staffs especially ms poornima ms manjula ans santhosh,1
We have visited the hospital for knee replacement for my mother and Dr. Narayan Hulse has treated her very well and explained the minute details as well.,1,5,153,27,we have visited the hospital for knee replacement for my mother and dr narayan hulse has treated her very well and explained the minute details as well,1
"Once the surgery is completed my mother has recovered well and thanks to Narayan Hulse and team who treated well and along with physiotherapy, nursing and House keeping department.",1,5,180,29,once the surgery is completed my mother has recovered well and thanks to narayan hulse and team who treated well and along with physiotherapy nursing and house keeping department,1
Excellent treatment in Fortis bannergatta. Dr Anil Kumar Kustagi treatment made my son up and above. Nursing staffs are excellent.,1,4,130,20,excellent treatment in fortis bannergatta dr anil kumar kustagi treatment made my son up and above nursing staffs are excellent,1
Dr Mohan Keshavamurthy operated for kidney stone with laser treatment. Overall treatment services are good. Nursing night staff was very caring.,1,5,144,21,dr mohan keshavamurthy operated for kidney stone with laser treatment overall treatment services are good nursing night staff was very caring,1
Had a better experience in the treatment of my mother at fortis hospital by Dr. Shashidhara,1,5,91,16,had a better experience in the treatment of my mother at fortis hospital by dr shashidhara,1
Feel to bow to Dr Narayan Hulse. He is such a great doctor. I am relaxed once I heard from him about the surgery. ,1,4,114,24,feel to bow to dr narayan hulse he is such a great doctor i am relaxed once i heard from him about the surgery,1
"Big thanks to Dr Narayan Hulse. Nursing Mahalakshmi, Shalini, Nivetha many more attended on me. Very caring. Physio team are excellent in their work.",1,5,149,24,big thanks to dr narayan hulse nursing mahalakshmi shalini nivetha many more attended on me very caring physio team are excellent in their work,1
"Dr. Mohan Keshavamurthy has done my surgery. Nurses including Josena, Parimala they are very caring.",1,4,100,15,dr mohan keshavamurthy has done my surgery nurses including josena parimala they are very caring,1
The care and hospitality offered by the staff (from all the departments) and Fortis as a whole is excellent.,1,5,108,19,the care and hospitality offered by the staff from all the departments and fortis as a whole is excellent,1
"Most importantly, the treating doctor Mr. Ravindra BS and the whole Gastroenterology department had been effective in diagnosing the health issue appropriately. ",1,5,161,22,most importantly the treating doctor mr ravindra bs and the whole gastroenterology department had been effective in diagnosing the health issue appropriately,1
The treatment given by Dr.Ravindra and Team has brought a lot of improvements in my health and able to cope with my life as a very healthy and confident person. Thanks again for everything. Please keep up the good work!!,1,4,220,40,the treatment given by drravindra and team has brought a lot of improvements in my health and able to cope with my life as a very healthy and confident person thanks again for everything please keep up the good work,1
Dr. Shabeer Ahmed is a very good doctor. He explained everything to us clearly and amazing treatment has been provided,1,5,118,20,dr shabeer ahmed is a very good doctor he explained everything to us clearly and amazing treatment has been provided,1
"My husband is doing well. CABG is done by Dr Vivek Jawali & team Dr Murali Manohar, Dr Sudarshan, Dr Nikhil. ",1,4,109,21,my husband is doing well cabg is done by dr vivek jawali team dr murali manohar dr sudarshan dr nikhil,1
"Happy with very good service by doctors and staffs ICU staffs are excellent. Polina, Prafulla, Priya toi are excellent. Big thanks to support staffs as well.",1,5,157,26,happy with very good service by doctors and staffs icu staffs are excellent polina prafulla priya toi are excellent big thanks to support staffs as well,1
Dr. Ravindra is undoubtedly an amazing doctor. The efficiency of treatment has helped to cure my health issues. Nurses are also providing good service.,1,5,151,24,dr ravindra is undoubtedly an amazing doctor the efficiency of treatment has helped to cure my health issues nurses are also providing good service,1
Review is for master health checkup.,0,1,36,6,review is for master health checkup,0
Poorly managed patient flow.,0,2,28,4,poorly managed patient flow,0
They book more appointments than capacity. ,0,2,43,6,they book more appointments than capacity,0
My wife went for checkup in Fortis and my friend went to Hiranandani in Mumbai. Started same time at 8 am today. Friend finished the process by 11:30. Wife finished at 4 pm. Avoid for master health checkup.,0,1,206,38,my wife went for checkup in fortis and my friend went to hiranandani in mumbai started same time at am today friend finished the process by wife finished at pm avoid for master health checkup,0
Excellent medical facilities and services.,1,5,42,5,excellent medical facilities and services,1
Dr. Ravindra is undoubtedly an amazing doctor. The efficiency of treatment has helped to cure my health issues. Nurses are also providing good service.,1,4,151,24,dr ravindra is undoubtedly an amazing doctor the efficiency of treatment has helped to cure my health issues nurses are also providing good service,1
"We consulted Dr.Sudarshan G T, they treated us very well. We are happy with the hospital service.",1,5,97,17,we consulted drsudarshan g t they treated us very well we are happy with the hospital service,1
Dr Vivek Belathur is a very good oncologist. happy with his treatment. Kavitha madam is very helpful and kind.,1,4,110,19,dr vivek belathur is a very good oncologist happy with his treatment kavitha madam is very helpful and kind,1
"Happy to get treated by Dr Vivek Belathur ,the best oncologist in Bangalore. His care to his patient is wonderful.",1,5,114,20,happy to get treated by dr vivek belathur the best oncologist in bangalore his care to his patient is wonderful,1
All the staffs afe caring and responsible.Ms Kavitha is an amazing pesrson who is very helpful in every step of the treatment.Thanks to Fortis.,1,5,143,24,all the staffs afe caring and responsiblems kavitha is an amazing pesrson who is very helpful in every step of the treatmentthanks to fortis,1
I have been visiting for Cancer treatment. Dr. Suresh Babu is coordinating for the treatment and experience with the doctor and hospital has been good.,1,5,151,25,i have been visiting for cancer treatment dr suresh babu is coordinating for the treatment and experience with the doctor and hospital has been good,1
Nice response from doctor and staff Tq,1,4,38,7,nice response from doctor and staff tq,1
"Diagnosis, treatment and care are good",1,4,38,6,diagnosis treatment and care are good,1
Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.,0,1,121,22,hopeless hospital i dont know how they have got jci and nabh they have no value for patients or their attendants time,0
Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.,0,2,95,18,receptionists only want money they dont care if the doctor is hrs late but give them money,0
I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.,0,1,119,27,i went for my father he has tracheostomy n all issues they made him wait for hour n said wait if you want to or go,0
I was having menopause related issues and went to see a gynecologist. ,0,2,70,12,i was having menopause related issues and went to see a gynecologist,0
hey kept me waiting until 4pm and then after several requests they let me see her. It was unfortunate for me to have gone for a check up and with this rather rude and very arrogant gynecologist. ,0,1,195,37,hey kept me waiting until pm and then after several requests they let me see her it was unfortunate for me to have gone for a check up and with this rather rude and very arrogant gynecologist,0
Didn't give anesthesia and directly stabbed (this is the right word) my vagina. It happened 8years back. ,0,1,105,17,didnt give anesthesia and directly stabbed this is the right word my vagina it happened years back,0
After that incident I lost sensibility in that part. I could have left the hospital without seeing her if the hospital had not collected the fee in advance.,0,2,156,28,after that incident i lost sensibility in that part i could have left the hospital without seeing her if the hospital had not collected the fee in advance,0
It's a bad practice for the hospital to collect the fee in advance. So patients be alert while selecting your doctor.,0,1,117,21,its a bad practice for the hospital to collect the fee in advance so patients be alert while selecting your doctor,0
Not every body is like that. I have been busy all these years and now got free time and thought of sharing my experience,1,3,120,24,not every body is like that i have been busy all these years and now got free time and thought of sharing my experience,1
Some of the doctors are very good... ,1,5,37,7,some of the doctors are very good,1
but some of them are are really terrible especially the ones who are in emergency. ,1,3,83,15,but some of them are are really terrible especially the ones who are in emergency,1
I had a very good repo for Fortis hospitals but no more ... they are good for themselves good for making money for them by employing such doctors ...,0,1,149,29,i had a very good repo for fortis hospitals but no more they are good for themselves good for making money for them by employing such doctors,0
"And walking from the car parking to the hospital feels like a dungeon, under rattling pipes next to pump rooms and what not. Truly scary.",0,2,137,25,and walking from the car parking to the hospital feels like a dungeon under rattling pipes next to pump rooms and what not truly scary,0
"Also, minimum car parking charge of ₹60 was pure loot. I'd barely left the car for 5 mins there, and still had to pay 60.",1,3,121,25,also minimum car parking charge of was pure loot id barely left the car for mins there and still had to pay,1
"Administrative service is so irresponsible for orthopaedic department, inspite of collecting token they have not billed me for hrs.",0,2,131,19,administrative service is so irresponsible for orthopaedic department inspite of collecting token they have not billed me for hrs,0
"I took an appointment for 11 am and its now 12:30 pm but still didn't got to see doctor, the ladies in reception are so rude that they do not care if the patient is suffering due to their delay in billing. They work so slow that patient has to wait for so long.",0,2,261,54,i took an appointment for am and its now pm but still didnt got to see doctor the ladies in reception are so rude that they do not care if the patient is suffering due to their delay in billing they work so slow that patient has to wait for so long,0
"Dr. Rajpal in cardiologist department, this whole Fortis hospital and the App myFortis is a total scam. They took the appointment fees, even when the appointment was cancelled they haven't refunded the amount back. From 12th July to this November i have not got the refund.",0,2,273,46,dr rajpal in cardiologist department this whole fortis hospital and the app myfortis is a total scam they took the appointment fees even when the appointment was cancelled they havent refunded the amount back from th july to this november i have not got the refund,0
I mean if you are so backdated and illiterate that you don't even know that account statement pdf and physical passbook would show same records then why even are you trying tO get an app for your hospital.,0,2,205,38,i mean if you are so backdated and illiterate that you dont even know that account statement pdf and physical passbook would show same records then why even are you trying to get an app for your hospital,0
Worst hospital. Simply looting people with too high charges. In emergency there was only 1 nurse who was not able to handle all. In billing there is only one person sitting causing inconvenience to huge queue. Only go there if you have too much money.,0,2,251,45,worst hospital simply looting people with too high charges in emergency there was only nurse who was not able to handle all in billing there is only one person sitting causing inconvenience to huge queue only go there if you have too much money,0
Highly Disappointed for Security Service very arrogant speaks for all securities and admission counter Are very waste for Customer support Not given Solutions for ward Booking Billing Manager Ram is very careless speaks for customers not given proper solutions..,0,1,262,39,highly disappointed for security service very arrogant speaks for all securities and admission counter are very waste for customer support not given solutions for ward booking billing manager ram is very careless speaks for customers not given proper solutions,0
I paid Almost 20 lacks for last one year But Last week I am very Disappointed for Admission counter And Billing Manager And Securities....,0,2,138,24,i paid almost lacks for last one year but last week i am very disappointed for admission counter and billing manager and securities,0
One of the worst hospital in entire india. Doctors visit for In-patient only once a day with utter non sense knowledge. Unprofessional nurse and administration who treats patients like materials. Expenses is pathetic who takes 50K for just investigation of the patient.,0,1,269,42,one of the worst hospital in entire india doctors visit for inpatient only once a day with utter non sense knowledge unprofessional nurse and administration who treats patients like materials expenses is pathetic who takes k for just investigation of the patient,0
"Last but not least, Dr. Balaji and Dr. Ravindra were excellent and they deserve to work in a better hospital who values patients better.",1,5,136,24,last but not least dr balaji and dr ravindra were excellent and they deserve to work in a better hospital who values patients better,1
One of the worst hospitals with one or the worst services.,0,2,58,11,one of the worst hospitals with one or the worst services,0
"They don’t care about patients, all they care about is money. I wanted to get a few blood tests done, I tried contacting their health check up department but nobody answered. When we call the customer service they say call the health check up department. I had made atleast 15 calls and went off without an answer.",0,2,314,57,they dont care about patients all they care about is money i wanted to get a few blood tests done i tried contacting their health check up department but nobody answered when we call the customer service they say call the health check up department i had made atleast calls and went off without an answer,0
"Since it was important that the test be done in this particular hospital only, I went there which is around 8 KMs from my house to take an appointment but there also I was given a contact number. Again which no one picked up.",0,1,225,44,since it was important that the test be done in this particular hospital only i went there which is around kms from my house to take an appointment but there also i was given a contact number again which no one picked up,0
One of the worst hospital my mother was admitted she was having ejection fraction of the heart of 35℅ but they gave false information saying 15℅ in the report and the cardiologist doctor venkatesh called us in enquired about our financial information ..,0,2,253,43,one of the worst hospital my mother was admitted she was having ejection fraction of the heart of but they gave false information saying in the report and the cardiologist doctor venkatesh called us in enquired about our financial information,0
"Doctors appear to care more about following administrative procedures rather than healing. Pharmacy is not efficient, and does not sell medicine according to dosage. They only care about maximizing profit by selling medicine in full strip instead of how much patients need!",0,1,273,42,doctors appear to care more about following administrative procedures rather than healing pharmacy is not efficient and does not sell medicine according to dosage they only care about maximizing profit by selling medicine in full strip instead of how much patients need,0
